trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-68.32474104781112,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-221.5339019119737,"{0: 11, 1: 5, 2: 5, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-52.6053684355154,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-87.49646035805658,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-159.6491865125252,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-94.11446895456808,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-220.91326314618377,"{0: 14, 1: 2, 2: 3, 3: 2, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-87.40423371231486,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-115.53150875129302,"{0: 16, 1: 5, 2: 1, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-77.65302326920595,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-152.3305463574735,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,12,-36.34740536518425,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-19.18727031852881,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-67.48549880319943,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-13.712852744232261,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,10,5.064899715486674,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-100.24295034908148,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-79.21617661912367,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-49.34578150647256,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,8,-33.56177531858828,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': -0.05}",30,13,3.6725385878412276,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': -0.05}",20,7,25.81447792419767,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': -0.05}",20,10,-35.847203310485966,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': -0.05}",30,10,-160.28500575763456,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",1
5,True,"{'a': 0, 'e': -0.05}",20,16,7.327661504700401,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': -0.05}",20,3,13.845084105598636,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': -0.05}",30,0,-74.42072017697053,"{0: 24, 1: 3, 2: 1, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': -0.05}",30,24,8.516733571767952,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': -0.05}",30,3,-87.27116172360915,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 2}",1
10,True,"{'a': 0, 'e': -0.05}",30,12,20.21526470759357,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
