trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.007, 'e': 0.9997}",20,0,-48.020130171145304,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.007, 'e': 0.9994000000000001}",20,0,-6.975401375518605,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.007, 'e': 0.9991000000000001}",20,0,-117.87958448629678,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.007, 'e': 0.9988000000000001}",25,0,-168.65985607467348,"{0: 14, 1: 3, 2: 3, 3: 3, 4: 2}",0
5,False,"{'a': 0.007, 'e': 0.9985000000000002}",25,0,-35.605555773602454,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.007, 'e': 0.9982000000000002}",20,0,-114.6648511216746,"{0: 12, 1: 3, 2: 1, 3: 3, 4: 1}",0
7,False,"{'a': 0.007, 'e': 0.9979000000000002}",30,0,-130.8324405299558,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
8,False,"{'a': 0.007, 'e': 0.9976000000000003}",20,0,-100.03936166827235,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.007, 'e': 0.9973000000000003}",25,0,-141.22747829801528,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.007, 'e': 0.9970000000000003}",30,6,-95.41145908810594,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 1}",1
11,False,"{'a': 0.007, 'e': 0.9967000000000004}",25,0,-150.02507937912543,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
12,False,"{'a': 0.007, 'e': 0.9964000000000004}",35,0,-99.68586321116426,"{0: 25, 1: 2, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.007, 'e': 0.9961000000000004}",20,0,-104.64256759427705,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
14,False,"{'a': 0.007, 'e': 0.9958000000000005}",25,0,-33.16140738742702,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.007, 'e': 0.9955000000000005}",20,0,-124.59333971456815,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
16,False,"{'a': 0.007, 'e': 0.9952000000000005}",30,0,-155.73225621039376,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
17,False,"{'a': 0.007, 'e': 0.9949000000000006}",25,0,-98.61842441986195,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.007, 'e': 0.9946000000000006}",35,0,-133.38149042630923,"{0: 22, 1: 6, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.007, 'e': 0.9943000000000006}",30,2,-150.18207384290767,"{0: 15, 1: 2, 2: 8, 3: 2, 4: 1}",1
20,False,"{'a': 0.007, 'e': 0.9940000000000007}",20,0,-148.2079173745898,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
21,False,"{'a': 0.007, 'e': 0.9937000000000007}",20,0,-81.02193687512874,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
22,False,"{'a': 0.007, 'e': 0.9934000000000007}",30,0,-186.37587517909628,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
23,False,"{'a': 0.007, 'e': 0.9931000000000008}",20,0,-93.32525073638139,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.007, 'e': 0.9928000000000008}",30,0,-61.669395839529,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
25,False,"{'a': 0.007, 'e': 0.9925000000000008}",20,0,-67.23404228831349,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.007, 'e': 0.9922000000000009}",20,0,-51.398823257644494,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
27,False,"{'a': 0.007, 'e': 0.9919000000000009}",25,0,-145.1315191717264,"{0: 15, 1: 0, 2: 6, 3: 3, 4: 1}",0
28,False,"{'a': 0.007, 'e': 0.9916000000000009}",20,0,-89.36106538601533,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
29,False,"{'a': 0.007, 'e': 0.991300000000001}",20,0,-46.72260679633584,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
30,False,"{'a': 0.007, 'e': 0.991000000000001}",25,0,-145.28888239979068,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
31,False,"{'a': 0.007, 'e': 0.990700000000001}",20,0,-44.83751551068551,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
32,False,"{'a': 0.007, 'e': 0.9904000000000011}",30,10,-51.67975617422504,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",1
33,False,"{'a': 0.007, 'e': 0.9901000000000011}",30,0,-158.01050852648243,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
34,False,"{'a': 0.007, 'e': 0.9898000000000011}",20,0,-147.16436835037683,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
35,False,"{'a': 0.007, 'e': 0.9895000000000012}",25,0,-156.30229968536187,"{0: 10, 1: 5, 2: 8, 3: 1, 4: 1}",0
36,False,"{'a': 0.007, 'e': 0.9892000000000012}",30,0,-115.31943169845879,"{0: 21, 1: 3, 2: 2, 3: 3, 4: 1}",0
37,False,"{'a': 0.007, 'e': 0.9889000000000012}",25,0,-167.9557876652057,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
38,False,"{'a': 0.007, 'e': 0.9886000000000013}",20,0,-142.69325797575254,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
39,False,"{'a': 0.007, 'e': 0.9883000000000013}",25,0,-188.4462102040966,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
40,False,"{'a': 0.007, 'e': 0.9880000000000013}",25,0,-157.46319955907205,"{0: 11, 1: 6, 2: 6, 3: 0, 4: 2}",0
41,False,"{'a': 0.007, 'e': 0.9877000000000014}",30,6,-97.1514694111164,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 1}",1
42,False,"{'a': 0.007, 'e': 0.9874000000000014}",30,0,-106.50021984585773,"{0: 18, 1: 3, 2: 7, 3: 2, 4: 0}",0
43,False,"{'a': 0.007, 'e': 0.9871000000000014}",35,0,-187.37552223242488,"{0: 18, 1: 6, 2: 8, 3: 1, 4: 2}",0
44,False,"{'a': 0.007, 'e': 0.9868000000000015}",30,0,-188.27780847914775,"{0: 20, 1: 2, 2: 4, 3: 0, 4: 4}",0
